date,fund,ticker,weight
2022-02-01,Combined Max-Sharpe,CMCSA,3.149784599104114e-17
2022-03-01,Combined Max-Sharpe,CMCSA,3.4318782323415994e-17
2022-04-01,Combined Max-Sharpe,CMCSA,0.0
2022-05-02,Combined Max-Sharpe,CMCSA,3.052161658295783e-17
2022-06-01,Combined Max-Sharpe,CMCSA,0.0
2022-07-01,Combined Max-Sharpe,CMCSA,1.1802264830454998e-16
2022-08-01,Combined Max-Sharpe,CMCSA,0.0
2022-09-01,Combined Max-Sharpe,CMCSA,6.13012040974096e-17
2022-10-03,Combined Max-Sharpe,CMCSA,1.713469209344843e-16
2022-11-01,Combined Max-Sharpe,CMCSA,6.950975745740957e-17
2022-12-01,Combined Max-Sharpe,CMCSA,6.113986265514002e-17
2023-01-03,Combined Max-Sharpe,CMCSA,0.0
2023-02-01,Combined Max-Sharpe,CMCSA,0.0
2023-03-01,Combined Max-Sharpe,CMCSA,3.1162215363784797e-16
2023-04-03,Combined Max-Sharpe,CMCSA,2.1481507326210753e-14
2023-05-01,Combined Max-Sharpe,CMCSA,0.0
2023-06-01,Combined Max-Sharpe,CMCSA,0.0
2023-07-03,Combined Max-Sharpe,CMCSA,1.3485871531304054e-16
2023-08-01,Combined Max-Sharpe,CMCSA,0.0
2023-09-01,Combined Max-Sharpe,CMCSA,7.217186290558856e-17
2023-10-02,Combined Max-Sharpe,CMCSA,1.0399511463516166e-16
2023-11-01,Combined Max-Sharpe,CMCSA,3.3134503021519505e-17
2023-12-01,Combined Max-Sharpe,CMCSA,0.0
2021-01-04,Combined Max-Sharpe,COP,0.0
2021-02-01,Combined Max-Sharpe,COP,1.674224575466538e-17
2021-03-01,Combined Max-Sharpe,COP,2.5128539842582047e-17
2021-04-01,Combined Max-Sharpe,COP,9.389075411518525e-17
2021-05-03,Combined Max-Sharpe,COP,0.0
2021-06-01,Combined Max-Sharpe,COP,0.0
2021-07-01,Combined Max-Sharpe,COP,0.0
2021-08-02,Combined Max-Sharpe,COP,1.4507662718746756e-16
2021-09-01,Combined Max-Sharpe,COP,0.0
2021-10-01,Combined Max-Sharpe,COP,0.0
2021-11-01,Combined Max-Sharpe,COP,1.596829054260064e-16
2021-12-01,Combined Max-Sharpe,COP,0.04408115236345296
2022-01-03,Combined Max-Sharpe,COP,0.08590291100652452
2022-02-01,Combined Max-Sharpe,COP,0.16987361340276064
2022-03-01,Combined Max-Sharpe,COP,0.15800711189642036
2022-04-01,Combined Max-Sharpe,COP,0.08268308021111943
2022-05-02,Combined Max-Sharpe,COP,0.17414583959099433
2022-06-01,Combined Max-Sharpe,COP,0.04982401065438478
2022-07-01,Combined Max-Sharpe,COP,7.275076352527327e-15
2022-08-01,Combined Max-Sharpe,COP,0.0
2022-09-01,Combined Max-Sharpe,COP,0.061860765530851104
2022-10-03,Combined Max-Sharpe,COP,3.1308510932586067e-15
2022-11-01,Combined Max-Sharpe,COP,2.272945041354489e-15
2022-12-01,Combined Max-Sharpe,COP,0.0
2023-01-03,Combined Max-Sharpe,COP,0.0
2023-02-01,Combined Max-Sharpe,COP,3.6717118771989035e-15
2023-03-01,Combined Max-Sharpe,COP,2.2643167548390472e-17
2023-04-03,Combined Max-Sharpe,COP,2.1219852064755217e-14
2023-05-01,Combined Max-Sharpe,COP,0.0
2023-06-01,Combined Max-Sharpe,COP,0.0
2023-07-03,Combined Max-Sharpe,COP,5.2466126467720236e-17
2023-08-01,Combined Max-Sharpe,COP,5.1685571422512106e-17
2023-09-01,Combined Max-Sharpe,COP,0.0
2023-10-02,Combined Max-Sharpe,COP,0.0
2023-11-01,Combined Max-Sharpe,COP,0.0
2023-12-01,Combined Max-Sharpe,COP,0.0
2021-01-04,Combined Max-Sharpe,CVX,0.0
2021-02-01,Combined Max-Sharpe,CVX,2.5802662553778395e-17
2021-03-01,Combined Max-Sharpe,CVX,1.5466190531580402e-17
2021-04-01,Combined Max-Sharpe,CVX,6.952791123078791e-17
2021-05-03,Combined Max-Sharpe,CVX,0.0
2021-06-01,Combined Max-Sharpe,CVX,1.3298495924421003e-16
2021-07-01,Combined Max-Sharpe,CVX,0.0
2021-08-02,Combined Max-Sharpe,CVX,0.0
2021-09-01,Combined Max-Sharpe,CVX,0.0
2021-10-01,Combined Max-Sharpe,CVX,3.3576729739846596e-17
2021-11-01,Combined Max-Sharpe,CVX,0.0
2021-12-01,Combined Max-Sharpe,CVX,1.2951397044365767e-16
2022-01-03,Combined Max-Sharpe,CVX,0.0
2022-02-01,Combined Max-Sharpe,CVX,6.494549486985262e-17
2022-03-01,Combined Max-Sharpe,CVX,6.952006886442796e-18
2022-04-01,Combined Max-Sharpe,CVX,0.0928170929785458
2022-05-02,Combined Max-Sharpe,CVX,0.08368703567163302
2022-06-01,Combined Max-Sharpe,CVX,0.1951634163695959
2022-07-01,Combined Max-Sharpe,CVX,0.11689625695897454
2022-08-01,Combined Max-Sharpe,CVX,0.2069129231551437
2022-09-01,Combined Max-Sharpe,CVX,0.1261646708674182
2022-10-03,Combined Max-Sharpe,CVX,0.15014953261343747
2022-11-01,Combined Max-Sharpe,CVX,0.061768133325916276
2022-12-01,Combined Max-Sharpe,CVX,0.0
2023-01-03,Combined Max-Sharpe,CVX,0.0
2023-02-01,Combined Max-Sharpe,CVX,2.7454735878100142e-15
2023-03-01,Combined Max-Sharpe,CVX,0.0
2023-04-03,Combined Max-Sharpe,CVX,2.0604587063248286e-14
2023-05-01,Combined Max-Sharpe,CVX,0.0
2023-06-01,Combined Max-Sharpe,CVX,2.0157807676866098e-17
2023-07-03,Combined Max-Sharpe,CVX,2.6431245470780977e-16
2023-08-01,Combined Max-Sharpe,CVX,1.335631642359018e-16
2023-09-01,Combined Max-Sharpe,CVX,7.750873456045494e-17
2023-10-02,Combined Max-Sharpe,CVX,3.806122713932843e-18
2023-11-01,Combined Max-Sharpe,CVX,0.0
2023-12-01,Combined Max-Sharpe,CVX,2.056176645140689e-17
2021-01-04,Combined Max-Sharpe,D,0.0
2021-02-01,Combined Max-Sharpe,D,0.0
2021-03-01,Combined Max-Sharpe,D,4.5639969567946127e-17
2021-04-01,Combined Max-Sharpe,D,0.0
2021-05-03,Combined Max-Sharpe,D,0.0
2021-06-01,Combined Max-Sharpe,D,0.0
2021-07-01,Combined Max-Sharpe,D,0.0
2021-08-02,Combined Max-Sharpe,D,2.842450578292702e-17
2021-09-01,Combined Max-Sharpe,D,2.673821873099993e-17
2021-10-01,Combined Max-Sharpe,D,0.0
2021-11-01,Combined Max-Sharpe,D,1.1517883313215637e-16
2021-12-01,Combined Max-Sharpe,D,1.3795450054751762e-16
2022-01-03,Combined Max-Sharpe,D,0.0
2022-02-01,Combined Max-Sharpe,D,1.6589680910024564e-16
2022-03-01,Combined Max-Sharpe,D,2.093012153256149e-17
2022-04-01,Combined Max-Sharpe,D,2.9547799277827077e-16
2022-05-02,Combined Max-Sharpe,D,0.0
2022-06-01,Combined Max-Sharpe,D,2.814532983910492e-16
2022-07-01,Combined Max-Sharpe,D,3.2373392914713424e-16
2022-08-01,Combined Max-Sharpe,D,0.0
2022-09-01,Combined Max-Sharpe,D,7.082469157751656e-17
2022-10-03,Combined Max-Sharpe,D,5.449518190604649e-17
2022-11-01,Combined Max-Sharpe,D,0.0
2022-12-01,Combined Max-Sharpe,D,2.292160599859809e-16
2023-01-03,Combined Max-Sharpe,D,1.407938541777686e-16
2023-02-01,Combined Max-Sharpe,D,1.2698944842927062e-16
2023-03-01,Combined Max-Sharpe,D,0.0
2023-04-03,Combined Max-Sharpe,D,1.8368941953040312e-14
2023-05-01,Combined Max-Sharpe,D,0.0
2023-06-01,Combined Max-Sharpe,D,0.0
2023-07-03,Combined Max-Sharpe,D,0.0
2023-08-01,Combined Max-Sharpe,D,0.0
2023-09-01,Combined Max-Sharpe,D,0.0
2023-10-02,Combined Max-Sharpe,D,7.462678828796056e-17
2023-11-01,Combined Max-Sharpe,D,0.0
2023-12-01,Combined Max-Sharpe,D,0.0
2021-01-04,Combined Max-Sharpe,DD,0.0
2021-02-01,Combined Max-Sharpe,DD,0.0
2021-03-01,Combined Max-Sharpe,DD,8.728223889038203e-18
2021-04-01,Combined Max-Sharpe,DD,0.06578910432514892
2021-05-03,Combined Max-Sharpe,DD,1.2866954742343472e-16
2021-06-01,Combined Max-Sharpe,DD,0.0
2021-07-01,Combined Max-Sharpe,DD,0.0
2021-08-02,Combined Max-Sharpe,DD,1.397983667018652e-16
2021-09-01,Combined Max-Sharpe,DD,3.594822484857766e-17
2021-10-01,Combined Max-Sharpe,DD,8.111176952001747e-17
2021-11-01,Combined Max-Sharpe,DD,8.085700263085432e-17
2021-12-01,Combined Max-Sharpe,DD,2.5684196385371614e-17
2022-01-03,Combined Max-Sharpe,DD,0.0
2022-02-01,Combined Max-Sharpe,DD,1.784450011868763e-17
2022-03-01,Combined Max-Sharpe,DD,3.698006715044405e-17
2022-04-01,Combined Max-Sharpe,DD,2.653287789338522e-16
2022-05-02,Combined Max-Sharpe,DD,6.790727067345056e-17
2022-06-01,Combined Max-Sharpe,DD,3.836014410449635e-17
2022-07-01,Combined Max-Sharpe,DD,1.5002548781813465e-16
2022-08-01,Combined Max-Sharpe,DD,0.0
2022-09-01,Combined Max-Sharpe,DD,0.0
2022-10-03,Combined Max-Sharpe,DD,0.0
2022-11-01,Combined Max-Sharpe,DD,0.0
2022-12-01,Combined Max-Sharpe,DD,2.652850398486304e-16
2023-01-03,Combined Max-Sharpe,DD,0.0
2023-02-01,Combined Max-Sharpe,DD,2.6565282948569584e-16
2023-03-01,Combined Max-Sharpe,DD,0.0
2023-04-03,Combined Max-Sharpe,DD,2.241523700493041e-14
2023-05-01,Combined Max-Sharpe,DD,0.0
2023-06-01,Combined Max-Sharpe,DD,0.0
2023-07-03,Combined Max-Sharpe,DD,0.0
2023-08-01,Combined Max-Sharpe,DD,0.0
