date,fund,ret
2022-03-18,Equity Min-Variance,0.0032159956286487296
2022-03-21,Equity Min-Variance,0.0025825162183238473
2022-03-22,Equity Min-Variance,0.0044571636050143885
2022-03-23,Equity Min-Variance,-0.009417841122001199
2022-03-24,Equity Min-Variance,0.006451809963532121
2022-03-25,Equity Min-Variance,0.008604002164583895
2022-03-28,Equity Min-Variance,0.005532409892198424
2022-03-29,Equity Min-Variance,0.012777500148104798
2022-03-30,Equity Min-Variance,0.0005400930131928623
2022-03-31,Equity Min-Variance,-0.008931576116838926
2022-04-01,Equity Min-Variance,0.009152913449465151
2022-04-04,Equity Min-Variance,0.002913601967389658
2022-04-05,Equity Min-Variance,-0.004397201253666512
2022-04-06,Equity Min-Variance,0.01115904696125181
2022-04-07,Equity Min-Variance,0.0034625254343069248
2022-04-08,Equity Min-Variance,0.007182987449771907
2022-04-11,Equity Min-Variance,-0.014318322188192982
2022-04-12,Equity Min-Variance,0.002738056312525519
2022-04-13,Equity Min-Variance,0.00620935604877142
2022-04-14,Equity Min-Variance,0.0017534012497785294
2022-04-18,Equity Min-Variance,-0.004534769462607461
2022-04-19,Equity Min-Variance,0.008660215413402186
2022-04-20,Equity Min-Variance,0.0025640803954613753
2022-04-21,Equity Min-Variance,-0.010494383154671022
2022-04-22,Equity Min-Variance,-0.015621020060904942
2022-04-25,Equity Min-Variance,-0.0014984597324295141
2022-04-26,Equity Min-Variance,-0.015963487924314047
2022-04-27,Equity Min-Variance,-0.00295301586092763
2022-04-28,Equity Min-Variance,0.0155577410308397
2022-04-29,Equity Min-Variance,-0.03135427124668886
2022-05-02,Equity Min-Variance,0.0005895930867399715
2022-05-03,Equity Min-Variance,0.0026863321624361215
2022-05-04,Equity Min-Variance,0.02456955426682355
2022-05-05,Equity Min-Variance,-0.014931961557380368
2022-05-06,Equity Min-Variance,-0.005786689397034002
2022-05-09,Equity Min-Variance,-0.014206504868952231
2022-05-10,Equity Min-Variance,-0.00797597274287439
2022-05-11,Equity Min-Variance,0.006990752681383933
2022-05-12,Equity Min-Variance,0.007125231280859085
2022-05-13,Equity Min-Variance,0.009921906599436765
2022-05-16,Equity Min-Variance,0.006155184350769973
2022-05-17,Equity Min-Variance,-0.0028341611023095757
2022-05-18,Equity Min-Variance,-0.024525993027806024
2022-05-19,Equity Min-Variance,-0.005287896594337744
2022-05-20,Equity Min-Variance,0.0029774522817487825
2022-05-23,Equity Min-Variance,0.01714005460071708
2022-05-24,Equity Min-Variance,0.009874894616254803
2022-05-25,Equity Min-Variance,0.005386051345117159
2022-05-26,Equity Min-Variance,0.005735623042617065
2022-05-27,Equity Min-Variance,0.010932596883957502
2022-05-31,Equity Min-Variance,-0.00930876244093362
2022-06-01,Equity Min-Variance,-0.005580383231851912
2022-06-02,Equity Min-Variance,0.0029370651089972214
2022-06-03,Equity Min-Variance,-0.005277638478479056
2022-06-06,Equity Min-Variance,-0.004635835814846306
2022-06-07,Equity Min-Variance,0.007720225102342896
2022-06-08,Equity Min-Variance,-0.009601418232002857
2022-06-09,Equity Min-Variance,-0.022741986063974238
2022-06-10,Equity Min-Variance,-0.009446000125943096
2022-06-13,Equity Min-Variance,-0.03230873412055567
2022-06-14,Equity Min-Variance,-0.013659406315811452
2022-06-15,Equity Min-Variance,0.0028833006179379878
2022-06-16,Equity Min-Variance,-0.00792115739736783
2022-06-17,Equity Min-Variance,-0.004146519584367278
2022-06-21,Equity Min-Variance,0.02223141216221784
2022-06-22,Equity Min-Variance,0.0033286140337559847
2022-06-23,Equity Min-Variance,0.013105117276496187
2022-06-24,Equity Min-Variance,0.014236513973555005
2022-06-27,Equity Min-Variance,-0.0029581624341840336
